initial_z,Zbase,new_Z,initial_mass
0.00639,0.00639,0.00639,0.5
0.00639,0.00639,0.00639,0.5108124575
0.00639,0.00639,0.00639,0.5218587334
0.00639,0.00639,0.00639,0.5331438841
0.00639,0.00639,0.00639,0.5446730752
0.00639,0.00639,0.00639,0.5564515841
0.00639,0.00639,0.00639,0.5684848023
0.00639,0.00639,0.00639,0.5807782377
0.00639,0.00639,0.00639,0.5933375177
0.00639,0.00639,0.00639,0.606168391
0.00639,0.00639,0.00639,0.6192767309
0.00639,0.00639,0.00639,0.6326685375
0.00639,0.00639,0.00639,0.6463499408
0.00639,0.00639,0.00639,0.6603272033
0.00639,0.00639,0.00639,0.6746067229
0.00639,0.00639,0.00639,0.6891950359
0.00639,0.00639,0.00639,0.7040988199
0.00639,0.00639,0.00639,0.7193248969
0.00639,0.00639,0.00639,0.7348802366
0.00639,0.00639,0.00639,0.7507719592
0.00639,0.00639,0.00639,0.7670073389
0.00639,0.00639,0.00639,0.7835938074
0.00639,0.00639,0.00639,0.8005389568
0.00639,0.00639,0.00639,0.8178505436
0.00639,0.00639,0.00639,0.835536492
0.00639,0.00639,0.00639,0.8536048975
0.00639,0.00639,0.00639,0.8720640308
0.00639,0.00639,0.00639,0.8909223413
0.00639,0.00639,0.00639,0.9101884611
0.00639,0.00639,0.00639,0.9298712091
0.00639,0.00639,0.00639,0.9499795949
0.00639,0.00639,0.00639,0.9705228228
0.00639,0.00639,0.00639,0.9915102963
0.00639,0.00639,0.00639,1.012951622
0.00639,0.00639,0.00639,1.0348566147
0.00639,0.00639,0.00639,1.0572353009
0.00639,0.00639,0.00639,1.0800979243
0.00639,0.00639,0.00639,1.10345495
0.00639,0.00639,0.00639,1.1273170694
0.00639,0.00639,0.00639,1.1516952051
0.00639,0.00639,0.00639,1.1766005159
0.00639,0.00639,0.00639,1.202044402
0.00639,0.00639,0.00639,1.2280385099
0.00639,0.00639,0.00639,1.2545947382
0.00639,0.00639,0.00639,1.2817252426
0.00639,0.00639,0.00639,1.3094424419
0.00639,0.00639,0.00639,1.3377590233
0.00639,0.00639,0.00639,1.3666879483
0.00639,0.00639,0.00639,1.3962424589
0.00639,0.00639,0.00639,1.4264360833
0.00639,0.00639,0.00639,1.4572826422
0.00639,0.00639,0.00639,1.4887962554
0.00639,0.00639,0.00639,1.5209913477
0.00639,0.00639,0.00639,1.5538826562
0.00639,0.00639,0.00639,1.5874852364
0.00639,0.00639,0.00639,1.6218144695
0.00639,0.00639,0.00639,1.6568860694
0.00639,0.00639,0.00639,1.6927160897
0.00639,0.00639,0.00639,1.7293209311
0.00639,0.00639,0.00639,1.7667173491
0.00639,0.00639,0.00639,1.8049224614
0.00639,0.00639,0.00639,1.8439537561
0.00639,0.00639,0.00639,1.8838290991
0.00639,0.00639,0.00639,1.9245667431
0.00639,0.00639,0.00639,1.9661853351
0.00639,0.00639,0.00639,2.0087039257
0.00639,0.00639,0.00639,2.0521419772
0.00639,0.00639,0.00639,2.0965193728
0.00639,0.00639,0.00639,2.1418564258
0.00639,0.00639,0.00639,2.1881738888
0.00639,0.00639,0.00639,2.2354929629
0.00639,0.00639,0.00639,2.283835308
0.00639,0.00639,0.00639,2.3332230522
0.00639,0.00639,0.00639,2.3836788022
0.00639,0.00639,0.00639,2.4352256535
0.00639,0.00639,0.00639,2.487887201
0.00639,0.00639,0.00639,2.54168755
0.00639,0.00639,0.00639,2.596651327
0.00639,0.00639,0.00639,2.652803691
0.00639,0.00639,0.00639,2.7101703451
0.00639,0.00639,0.00639,2.7687775482
0.00639,0.00639,0.00639,2.8286521271
0.00639,0.00639,0.00639,2.8898214886
0.00639,0.00639,0.00639,2.9523136324
0.00639,0.00639,0.00639,3.0161571635
0.00639,0.00639,0.00639,3.0813813055
0.00639,0.00639,0.00639,3.148015914
0.00639,0.00639,0.00639,3.2160914903
0.00639,0.00639,0.00639,3.2856391951
0.00639,0.00639,0.00639,3.3566908631
0.00639,0.00639,0.00639,3.4292790174
0.00639,0.00639,0.00639,3.5034368843
0.00639,0.00639,0.00639,3.5791984088
0.00639,0.00639,0.00639,3.6565982699
0.00639,0.00639,0.00639,3.7356718963
0.00639,0.00639,0.00639,3.8164554832
0.00639,0.00639,0.00639,3.8989860083
0.00639,0.00639,0.00639,3.9833012489
0.00639,0.00639,0.00639,4.0694397995
